Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick
GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,_,_,_,_,_,_,_,_,_,_,_,_,_,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,_,_,_,_,_,_,_,_,_,_,GrayBrick,_,_,_,_,_,_,_,GrayBrick,_,_,_,_,_,_,_,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,GrayBrick,GrayBrick,GrayBrick,GrayBrick,_,_,_,_,_,_,_,_,_,_,_,_,_,_,GrayBrick,GrayBrick,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,_,_,_,_,_,_,_,_,_,_,_,_,_,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,_,_,_,_,_,_,_,_,_,_,FireBlock,_,_,_,_,_,_,_,FireBlock,_,_,_,_,_,_,_,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,GrayBrick,GrayBrick,GrayBrick,GrayBrick,_,_,_,_,_,_,_,_,_,_,_,_,_,_,GrayBrick,GrayBrick,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,_,_,_,_,_,_,_,_,_,_,_,_,_,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,grayFixBlock,_,_,grayFixBlock,_,_,grayFixBlock,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,GrayBrick,GrayBrick,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,GrayBrick,_,_,_,_,_,_,_,_,_,_,_,_,_,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,GrayBrick,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,GrayBrick,GrayBrick,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,mushroomBlock,_,_,_,_,_,_,FireBlock,_,_,_,_,_,_,_,_,_,_,_,FireBlock,_,_,_,_,_,_,_,_,_,_,FireBlock,_,_,_,_,_,_,FireBlock,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,GrayBrick,GrayBrick,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,GrayBrick,GrayBrick,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,mario,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,flowerBlock,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,step,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
GrayBrick,GrayBrick,GrayBrick,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,grayFixBlock,_,_,grayFixBlock,_,_,grayFixBlock,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
GrayBrick,GrayBrick,GrayBrick,GrayBrick,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,Hammer,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
